DATE,3 Month Treasury Bills Yield
1/11/2019,1.54
1/12/2019,1.54
1/1/2020,1.52
1/2/2020,1.52
1/3/2020,0.29
1/4/2020,0.14
1/5/2020,0.13
1/6/2020,0.16
1/7/2020,0.13
1/8/2020,0.1
1/9/2020,0.11
1/10/2020,0.1
1/11/2020,0.09
1/12/2020,0.09
1/1/2021,0.08
1/2/2021,0.04
1/3/2021,0.03
1/4/2021,0.02
1/5/2021,0.02
1/6/2021,0.04
1/7/2021,0.05
1/8/2021,0.05
1/9/2021,0.04
1/10/2021,0.05
1/11/2021,0.05
1/12/2021,0.06
1/1/2022,0.15
1/2/2022,0.33
1/3/2022,0.44
1/4/2022,0.76
1/5/2022,0.98
1/6/2022,1.49
1/7/2022,2.23
1/8/2022,2.63
1/9/2022,3.13
1/10/2022,3.72
1/11/2022,4.15
1/12/2022,4.25
1/1/2023,4.54
