,date,open,high,low,close,adjusted_close,volume,wma_x,wma_y,slope_x,slope_y,rsi_x,rsi_y,volatility_x,volatility_y
8870,2016-03-04,102.37,103.75,101.37,103.01,23.6677,184220400.0,23.1123,22.7151,0.2625,0.1001,79.8295,64.2068,0.3095,0.3025
8871,2016-03-07,102.39,102.83,100.96,101.87,23.4058,143315600.0,23.2513,22.8361,0.2338,0.1163,68.961,60.1986,0.2709,0.3478
8872,2016-03-08,100.78,101.76,100.4,101.03,23.2128,126247600.0,23.3001,22.9199,0.1474,0.133,61.7349,57.3571,0.1775,0.3736
8873,2016-03-09,101.31,101.58,100.27,101.12,23.2335,108806800.0,23.3203,23.0002,0.0222,0.1332,62.2301,57.5883,0.0318,0.3742
8874,2016-03-10,101.41,102.24,100.15,101.17,23.245,134054400.0,23.307,23.0713,-0.0121,0.1271,62.5443,57.7255,0.026,0.3577
8875,2016-03-11,102.24,102.28,101.5,102.26,23.4954,109632800.0,23.3511,23.1646,-0.0176,0.1295,69.0785,60.7051,0.0239,0.3643
8876,2016-03-14,101.91,102.91,101.78,102.52,23.5552,100304400.0,23.3977,23.254,-0.0045,0.1114,70.5118,61.4048,0.0274,0.289
8877,2016-03-15,103.96,105.18,103.85,104.58,24.0285,160270800.0,23.5543,23.3895,0.1005,0.1097,79.3502,66.4902,0.0707,0.2813
8878,2016-03-16,104.61,106.31,104.59,105.97,24.3478,153214000.0,23.7778,23.549,0.1895,0.1136,83.2918,69.4178,0.1664,0.3002
8879,2016-03-17,105.52,106.47,104.96,105.8,24.3088,137682800.0,23.9579,23.6831,0.213,0.1081,81.0863,68.6291,0.1959,0.2744
8880,2016-03-18,106.34,106.5,105.19,105.92,24.3363,176820800.0,24.1058,23.8014,0.2033,0.0928,81.4895,68.8975,0.1837,0.1991
8881,2016-03-21,105.93,107.65,105.14,105.91,24.334,142010800.0,24.2137,23.8992,0.1557,0.0972,81.3203,68.8444,0.1244,0.2117
8882,2016-03-22,105.25,107.29,105.21,106.72,24.5201,129777600.0,24.3292,24.0101,0.1248,0.1032,84.381,70.803,0.0882,0.2306
8883,2016-03-23,106.48,107.07,105.9,106.13,24.3846,102814000.0,24.3742,24.0899,0.0514,0.1049,74.0714,67.4769,0.0186,0.2349
8884,2016-03-24,105.47,106.25,104.89,105.67,24.2789,104532000.0,24.3632,24.1454,0.0046,0.1104,66.6593,64.9151,0.0053,0.2427
8885,2016-03-28,106.0,106.19,105.06,105.19,24.1686,77645600.0,24.3157,24.1804,-0.0173,0.1014,59.4204,62.2588,0.0097,0.2267
8886,2016-03-29,104.89,107.79,104.88,107.68,24.7407,124760400.0,24.4176,24.2844,0.0229,0.099,75.5122,69.2803,0.0296,0.2183
8887,2016-03-30,108.65,110.42,108.6,109.56,25.1727,182404400.0,24.6121,24.4314,0.0979,0.103,81.8521,73.3172,0.1013,0.2361
8888,2016-03-31,109.72,109.9,108.88,108.99,25.0417,103553600.0,24.744,24.5425,0.1287,0.095,74.984,70.3003,0.1262,0.2029
